County Name,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
YORK,803,1365,1088,878,925,947,866,939,1116,1064,1129,852,732,584,436,323,226,77,10,,3338,8672,8306,8116,9680,11026,11744,12494,15276,17779,19776,19600,17025,11403,7521,4671,2282,668,76,9
LEHIGH,871,1456,1424,1306,1292,1234,1202,1166,1219,1371,1266,1171,872,490,319,308,255,89,13,,4469,10414,10519,10995,12653,13565,14214,14338,16115,18241,19616,17808,14978,10254,6895,4559,2422,720,96,
BLAIR,156,297,258,182,183,203,203,192,287,306,342,309,323,188,188,104,77,40,,,603,1737,2004,1882,2171,2464,2718,2823,3449,4148,5232,5519,4841,3104,2318,1340,779,234,32,
DAUPHIN,592,985,1003,994,939,911,866,822,948,1009,995,894,781,516,327,277,138,54,16,,2560,6027,6105,7263,7872,8277,8322,8435,10233,11303,12905,12387,10189,6103,4071,2569,1240,353,48,7
LAWRENCE,90,183,194,161,134,153,157,185,209,233,250,308,229,188,133,103,57,17,,,311,1078,1297,1197,1393,1641,1846,1890,2634,3048,4061,3944,3398,2159,1642,1041,530,158,26,
WARREN,52,98,93,81,101,119,105,103,134,206,174,228,206,156,94,77,42,16,,,145,478,484,484,550,682,647,726,1014,1361,1708,1751,1436,988,675,409,193,62,,
ELK,30,66,69,62,63,56,53,42,77,91,117,73,67,37,45,43,26,22,8,,105,370,562,433,578,597,647,736,1130,1433,1682,1611,1424,885,740,452,221,66,7,
UNION,54,120,119,58,56,60,66,65,70,97,93,121,136,114,90,79,47,17,,,283,861,1179,613,739,918,925,1018,1252,1435,1629,1668,1495,1109,798,523,283,79,6,
FAYETTE,162,286,243,193,194,196,228,247,308,331,348,349,327,203,132,89,65,22,5,,569,1672,1994,1956,2338,2633,2937,3242,4188,4993,6342,6778,5769,3706,2521,1517,833,238,24,
LEBANON,200,340,337,235,250,278,275,274,248,327,309,254,231,204,178,147,93,34,7,,1007,2530,2454,2324,2774,3130,3445,3633,4207,4923,5547,5913,5219,3519,2510,1638,867,277,53,
CENTRE,230,569,1277,444,334,305,254,236,275,274,259,228,199,154,111,87,57,18,,,1547,3866,9018,5685,5264,5003,4862,4668,5279,5873,6211,6162,5159,3548,2466,1576,737,239,31,
MCKEAN,117,253,127,124,101,120,131,175,212,261,341,282,209,144,113,65,42,13,,,102,481,580,526,571,691,749,864,1084,1261,1601,1585,1170,815,585,356,192,58,6,
CRAWFORD,105,190,173,137,128,116,143,136,137,189,182,175,140,112,76,42,37,11,8,,369,1249,1617,1198,1416,1579,1705,1844,2308,2822,3574,3625,3255,2353,1573,895,506,150,16,
LANCASTER,826,1250,1433,1215,1190,1125,1052,1043,1167,1332,1298,1179,1038,821,695,615,432,171,38,,4527,11605,13225,12764,14569,15146,15000,15217,17553,21052,23459,23101,20261,14381,10486,6956,3818,1175,172,8
BEDFORD,27,69,76,45,56,45,60,68,56,79,122,110,82,60,53,49,11,,,,74,267,407,379,429,514,615,718,1004,1266,1739,1874,1598,1221,926,537,246,52,6,
BUTLER,339,530,428,334,402,390,376,360,405,476,534,432,336,203,170,135,89,38,,,1670,4148,4416,4047,4904,5996,6029,6023,7539,8552,9999,9539,7772,5090,3590,2198,1226,344,51,
ADAMS,151,265,228,160,154,152,157,179,185,220,235,223,190,138,91,72,36,17,,,598,1633,1811,1352,1647,1911,2009,2286,2873,3665,4241,4655,4356,2878,1919,1119,520,133,22,
INDIANA,84,165,197,131,112,140,137,128,148,212,257,242,184,117,118,78,53,21,5,,266,950,1492,1151,1208,1451,1505,1568,2050,2594,3366,3554,3103,2030,1544,812,378,94,18,
ARMSTRONG,93,168,119,111,100,102,104,124,158,190,206,232,170,97,78,38,25,10,,,310,903,1109,966,1092,1365,1492,1709,2228,2946,3857,3760,3258,2024,1562,918,477,115,16,
CAMBRIA,144,316,285,202,218,226,212,250,296,375,462,410,310,227,185,139,135,53,10,,564,1769,2079,2032,2222,2419,2772,3151,3876,4796,6457,7128,6025,3931,2652,1716,916,265,36,
MONROE,280,600,701,465,482,413,456,487,631,733,703,630,429,226,145,101,70,18,,,1360,3774,4031,3304,3337,3582,4037,4635,6040,7664,8266,7402,5873,3829,2434,1367,618,150,19,
CLINTON,33,69,94,74,60,66,69,91,87,102,104,90,57,40,40,30,11,6,,,109,465,702,543,580,620,697,800,1032,1225,1544,1536,1303,884,651,414,213,65,8,
NORTHUMBERLAND,124,199,166,127,154,131,143,149,177,206,243,190,185,127,114,78,71,13,,,412,1236,1577,1587,1910,2218,2223,2487,3035,3765,4336,4545,3930,2616,1877,1170,586,154,20,
PHILADELPHIA,1024,1995,2313,2903,3160,2760,2353,1989,2241,2261,2287,1639,1408,791,647,412,212,89,12,,2679,5292,6313,10486,11480,9794,8611,7643,8342,8944,8852,7055,5478,3990,2745,1741,937,300,45,30
SULLIVAN,,,11,13,22,7,20,15,14,34,49,66,58,59,50,30,9,,,,14,46,75,58,76,66,88,106,177,257,367,361,343,226,170,102,39,9,,
LACKAWANNA,469,764,664,603,591,639,596,560,685,727,742,683,578,382,349,272,164,78,19,,2487,5666,6139,5919,6870,7420,7263,7403,9116,10229,11289,10470,9152,6173,4196,2620,1409,447,48,
JUNIATA,16,44,30,15,19,23,32,28,33,46,55,49,38,28,31,18,11,7,,,65,235,293,212,269,300,358,412,586,709,857,960,861,608,511,302,138,53,,
FRANKLIN,163,317,279,216,242,215,202,245,236,288,272,237,220,165,159,121,66,41,5,,696,1851,1910,1730,2194,2541,2677,2936,3489,4059,4877,5519,5396,3972,2784,1757,877,243,34,
OUT-OF-STATE,3000,5882,7867,6137,6425,6344,6176,6053,6975,7643,8003,8426,7464,4808,3223,2012,1079,335,95,216,4960,12793,23454,19273,21328,21898,22439,22391,26587,29680,32271,31325,24882,16295,10889,6431,3287,859,115,150
WAYNE,95,148,236,142,136,130,134,132,148,199,183,217,250,203,144,72,34,23,,,391,970,1231,916,991,1124,1155,1322,1742,2202,2584,2583,2242,1478,968,507,235,47,,
BRADFORD,50,115,86,61,80,65,87,88,115,127,158,128,107,111,80,44,30,7,,,223,625,685,657,733,737,804,935,1340,1696,2034,2133,1895,1516,1047,573,258,72,7,
SCHUYLKILL,219,386,331,262,287,270,302,292,356,426,466,470,429,229,187,160,123,60,6,,805,2273,2567,2613,3133,3535,3899,4366,5274,6144,6964,7243,6157,4016,2672,1629,887,231,27,
SUSQUEHANNA,20,71,60,46,44,52,51,40,66,92,116,103,94,64,44,24,14,10,,,193,550,509,381,490,543,665,695,979,1297,1598,1682,1435,1033,676,408,191,53,9,
MONTOUR,45,50,40,30,35,44,30,40,35,47,47,42,25,21,15,13,15,,5,,233,468,395,635,894,775,683,630,727,918,1070,1096,882,632,466,350,167,49,8,
COLUMBIA,97,158,152,95,111,99,100,103,115,151,132,142,110,85,61,55,38,26,,,474,1164,1403,1333,1552,1679,1675,1967,2315,2733,3228,3317,2817,1971,1309,861,449,117,21,
PIKE,127,283,235,129,109,141,147,153,225,238,273,291,319,267,198,100,46,14,,,408,1168,1065,774,835,857,1017,1195,1772,2335,2676,2502,2221,1420,962,465,203,41,,
MONTGOMERY,2612,4175,3575,3121,3641,3916,3618,3553,3962,4202,4380,4343,3440,2403,1761,1334,847,293,48,16,14313,26885,20554,21922,26377,29539,29336,28033,32300,35273,36971,33784,27353,19181,13372,8944,5219,1620,216,45
HUNTINGDON,33,52,71,44,76,53,52,75,66,105,106,96,105,76,39,45,18,12,,,122,446,707,683,875,917,1029,1104,1299,1453,1701,1883,1700,1190,843,469,244,58,12,
DELAWARE,1521,2738,2533,1889,2197,2069,2071,1917,2159,2295,2384,2098,1562,999,810,641,398,156,28,,8177,16580,14485,14106,16643,18847,18782,18223,21144,24121,26300,24024,18757,12979,8462,5751,3119,995,139,8
WASHINGTON,389,636,586,456,500,542,519,550,610,729,847,962,751,498,333,202,139,38,9,,1689,4170,4251,3945,4747,5919,6285,6389,7816,9388,11012,10844,9284,5883,4092,2521,1345,399,43,
CLEARFIELD,55,168,111,92,98,119,115,125,175,217,202,183,147,115,89,45,36,11,,,236,810,1216,1220,1531,1626,1672,1967,2399,2904,3397,3528,2989,2085,1583,920,406,125,11,
ALLEGHENY,2651,4509,5103,4564,4680,4139,3507,3292,3643,4141,4528,5035,4285,2458,1953,1339,913,293,47,24,12934,28748,39271,47452,52858,50747,44724,40231,46831,53948,63830,60399,48206,30690,22039,14105,8136,2380,293,76
