County Name,Partially Covered Age Group 5-9,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 5-9,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
ADAMS,269,277,241,317,269,302,260,260,240,264,314,318,325,316,238,160,102,58,15,,,,954,2246,2374,1885,2191,2409,2515,2682,3441,4279,4692,5089,4640,3232,2138,1243,603,164,29,
ALLEGHENY,9606,6346,4277,6893,7434,7925,6940,5601,4659,5111,5487,6445,7569,6723,4378,3186,2163,1443,515,96,24,7,17723,35520,45460,54055,60074,57228,50519,44811,51700,58471,68385,65130,51864,33720,23848,15268,9050,2781,370,57
ARMSTRONG,169,165,154,187,182,189,185,210,204,220,235,254,255,288,204,128,78,49,10,,,,542,1349,1454,1237,1408,1637,1805,2050,2615,3321,4235,4131,3466,2261,1675,1006,525,133,18,
BEAVER,477,490,377,466,524,590,647,698,671,651,796,960,970,770,464,311,219,147,33,,,,1566,3462,3374,3582,4271,4817,5012,4763,5958,7274,8676,8571,7123,4804,3491,2157,1173,299,29,
BEDFORD,60,47,57,98,86,75,77,91,85,89,116,140,121,109,105,79,63,17,,,,,169,449,590,497,580,657,745,876,1176,1433,1945,1989,1716,1346,982,594,281,60,6,
BERKS,1746,1804,1475,1720,1647,1696,1550,1468,1419,1435,1570,1456,1578,1502,1181,804,624,397,129,33,7,,5777,12490,12115,11433,12744,13741,14389,14888,17819,20125,20945,18958,15904,10843,7090,4671,2453,692,99,13
BLAIR,365,321,294,353,322,353,362,368,327,405,444,477,515,577,356,311,208,118,47,6,,,1007,2438,2609,2293,2650,2895,3162,3232,4056,4547,5651,5904,5181,3455,2535,1455,833,288,39,
BRADFORD,116,96,87,134,112,124,107,111,133,119,171,217,296,304,225,150,88,51,11,,,,412,954,928,931,965,966,1026,1145,1600,1938,2363,2378,2032,1644,1170,624,279,86,9,
BUCKS,3509,3058,2668,2708,2546,2933,3240,3246,2979,3690,4539,5202,5869,5142,3391,2040,1239,714,217,38,11,6,11628,22568,19623,17246,19217,21933,22690,22797,28535,32487,34691,31007,25003,17540,11441,7446,3962,1228,149,19
BUTLER,1361,800,407,626,602,689,647,644,554,629,679,819,758,728,518,387,294,155,48,8,,,2556,5491,5474,4936,5784,6922,6934,6863,8534,9458,10700,10255,8231,5463,3892,2383,1325,399,55,5
CAMBRIA,362,313,261,409,403,411,376,372,365,413,463,547,568,511,408,264,201,145,62,10,,,1032,2604,2806,2594,2815,2954,3392,3750,4576,5402,6976,7701,6520,4327,2867,1870,1068,327,47,
CAMERON,,8,8,9,16,18,17,14,9,13,18,16,14,22,10,12,,,,,,,29,73,77,70,60,102,102,102,123,230,273,299,278,172,134,74,43,11,,
CARBON,197,192,176,247,194,203,215,207,195,233,267,300,295,258,190,107,79,49,16,,,,695,1613,1579,1426,1697,1800,1939,2283,2821,3293,3711,3691,2994,2210,1339,790,418,142,21,
CENTRE,1616,879,632,1911,804,606,517,430,382,413,399,398,430,366,252,203,136,89,25,6,,,1913,4411,10521,6649,6036,5650,5402,5125,5833,6331,6626,6498,5536,3874,2668,1740,808,256,38,
CHESTER,5591,4690,3225,2821,2764,3249,3360,3364,2932,3234,3336,3695,4030,3479,2398,1528,1159,642,227,36,,6,11308,22862,18254,17677,20308,22524,23401,23391,26731,28077,28076,24955,20223,14748,9576,5575,3082,922,135,10
CLARION,75,48,48,89,109,109,98,82,85,106,117,131,160,141,118,96,60,29,11,7,,,229,480,689,614,659,677,833,783,1087,1383,1761,1770,1462,1076,842,521,240,63,11,
CLEARFIELD,110,110,115,165,186,183,214,185,187,237,236,263,288,245,174,138,100,78,25,,,,441,1212,1535,1546,1940,1943,2043,2319,2768,3320,3723,3766,3212,2287,1710,999,448,135,22,
CLINTON,69,58,51,117,123,99,89,86,100,117,124,150,166,149,111,89,65,38,14,,,,212,616,896,723,721,773,866,952,1239,1382,1683,1670,1398,966,739,449,239,77,11,
COLUMBIA,234,187,123,208,143,158,158,142,97,164,164,160,171,152,120,86,71,51,28,,,,721,1603,1760,1716,1912,1984,1971,2222,2654,3072,3525,3529,2977,2179,1388,929,494,131,27,
